roll,paper_code,scgpa,cgpa
20010104063,1800265270,6.54,7.31
20010104063,1800265518,7.21,7.29
20010104063,1800265817,6.54,7.16
20010104063,1800265988,5.87,6.98
20010107001,1800265281,7.28,7.95
20010107001,1800265540,8.56,8.27
20010107001,1800265545,8.24,8.2
20010107001,1800265780,8.92,8.39
20010107001,1800265922,8.63,8.42
20010107002,1800265281,3.6,6.19
20010107002,1800265540,3.36,6.07
20010107002,1800265545,5.88,6.78
20010107002,1800265778,5.88,6.78
20010107002,1800265779,3.36,6.07
20010107002,1800265780,2.14,5.35
20010107002,1800265918,5.88,6.78
20010107002,1800265919,3.36,6.07
20010107002,1800265920,2.15,5.36
20010107002,1800265922,5.54,5.38
20010107003,1800265281,7.84,8.14
20010107003,1800265540,8.24,8.18
20010107003,1800265780,8.7,8.27
20010107003,1800265922,8.08,8.25
20010107004,1800265281,6.28,7.17
20010107004,1800265540,7.32,7.19
20010107004,1800265780,6.92,7.14
20010107004,1800265922,7.5,7.19
20010107005,1800265281,6.04,7.09
20010107005,1800265540,7.4,7.45
20010107005,1800265545,7.48,7.47
20010107005,1800265780,7.85,7.52
20010107005,1800265922,8.08,7.6
20010107008,1800265281,7.6,7.6
20010107008,1800265540,8.12,7.83
20010107008,1800265780,7.88,7.84
20010107008,1800265922,8.08,7.88
20010107009,1800265281,7.84,8.31
20010107009,1800265540,8.04,8.28
20010107009,1800265780,8.59,8.33
20010107009,1800265922,8.58,8.37
20010107010,1800265281,7.88,8.02
20010107010,1800265540,8.2,8.03
20010107010,1800265780,8.37,8.09
20010107010,1800265922,8.33,8.13
20010203001,1800265243,7.23,7.77
20010203001,1800265284,6.13,7.37
20010203001,1800265591,7.0,7.3
20010203001,1800265762,7.67,7.36
20010203001,1800266013,8.17,7.47
20010203002,1800265243,6.19,7.3
20010203002,1800265284,6.33,7.39
20010203002,1800265364,7.42,7.73
20010203002,1800265591,7.33,7.38
20010203002,1800265762,6.7,7.26
20010203002,1800266012,7.48,7.39
20010203002,1800266013,8.08,7.48
20010203003,1800265243,8.54,8.82
20010203003,1800265284,8.17,8.66
20010203003,1800265591,8.04,8.54
20010203003,1800265762,8.37,8.51
20010203003,1800266013,8.65,8.52
20010203005,1800265243,5.73,6.54
20010203005,1800265284,5.92,6.63
20010203005,1800265591,6.71,6.65
20010203005,1800265762,7.0,6.71
20010203005,1800266013,7.43,6.8
20010203006,1800265243,7.73,7.99
20010203006,1800265284,7.42,7.85
20010203006,1800265591,7.75,7.83
20010203006,1800265762,7.93,7.85
20010203006,1800266013,8.52,7.93
20010203007,1800265243,7.19,7.77
20010203007,1800265284,7.38,7.67
20010203007,1800265591,7.71,7.68
20010203007,1800265762,7.67,7.68
20010203007,1800266013,8.04,7.72
20010203009,1800265243,7.38,7.76
20010203009,1800265284,6.79,7.52
20010203009,1800265591,7.13,7.44
20010203009,1800265762,7.78,7.5
20010203009,1800266013,8.04,7.57
20010203010,1800265243,4.85,6.36
20010203010,1800265284,4.38,6.31
20010203010,1800265364,6.46,6.93
20010203010,1800265590,6.13,6.73
